Rank,Release Group,Worldwide,Domestic,%,Foreign,%
798,Get Out 2020 Re-release,"$168,228",-,-,"$168,228",100%
799,Blue Hour,"$166,334",-,-,"$166,334",100%
800,The Lost Boys 2020 Re-release,"$166,331",-,-,"$166,331",100%
801,Combat Wombat,"$164,199",-,-,"$164,199",100%
802,Ghost 30th Anniversary,"$163,987",-,-,"$163,987",100%
803,The 100 Candles Game,"$163,948",-,-,"$163,948",100%
804,Cruel Peter,"$163,925",-,-,"$163,925",100%
805,Klovn the Final,"$163,603",-,-,"$163,603",100%
806,Little Mix: LM5 - The Tour Film,"$161,260",-,-,"$161,260",100%
807,Halloween 2020 Re-release,"$160,000","$160,000",100%,-,-
808,Dawn of the Dead,"$159,822",-,-,"$159,822",100%
809,Ip Man: Kung Fu Master,"$158,953","$3,439",2.2%,"$155,514",97.8%
810,Star Wars: Episode VIII - The Last Jedi 2020 Re-release,"$158,941",-,-,"$158,941",100%
811,Breaking Surface,"$158,659",-,-,"$158,659",100%
812,Logan 2020 Re-release,"$158,514",-,-,"$158,514",100%
813,Dear Comrades,"$156,771",-,-,"$156,771",100%
814,Helmut Newton: The Bad and the Beautiful,"$156,392",-,-,"$156,392",100%
815,The Invisible,"$155,314",-,-,"$155,314",100%
816,Matthew Bourne's the Red Shoes,"$155,023",-,-,"$155,023",100%
817,The Rocky Horror Picture Show 2020 Re-release,"$154,918",-,-,"$154,918",100%
818,The Metropolitan Opera HD Live: Berg: Wozzeck,"$154,471",-,-,"$154,471",100%
819,Haikyuu!! Ova 4 And Haikyu!! Ova 5,"$153,999",-,-,"$153,999",100%
820,Most Wanted,"$153,983","$138,000",89.6%,"$15,983",10.4%
821,Maternal,"$153,697",-,-,"$153,697",100%
822,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
823,Octonauts & the Great Barrier Reef,"$151,898",-,-,"$151,898",100%
824,Aquaslash,"$151,067",-,-,"$151,067",100%
825,The Plan,"$149,937",-,-,"$149,937",100%
826,Fox Hunting,"$149,173",-,-,"$149,173",100%
827,Tygyn Darkhan,"$149,151",-,-,"$149,151",100%
828,H is for Happiness,"$149,031",-,-,"$149,031",100%
829,Watchers,"$147,308",-,-,"$147,308",100%
830,Girl on the Third Floor,"$145,856",-,-,"$145,856",100%
831,The Woman Who Ran,"$145,650",-,-,"$145,650",100%
832,A Choo,"$144,669",-,-,"$144,669",100%
833,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
834,Norm of the North: Family Vacation,"$143,858",-,-,"$143,858",100%
835,The Mission 2020 Re-release,"$143,364",-,-,"$143,364",100%
836,The Soul Collector,"$142,725",-,-,"$142,725",100%
837,Brillebjørn feirer jul,"$142,317",-,-,"$142,317",100%
838,Love Aaj Kal 2,"$141,918",-,-,"$141,918",100%
839,White Riot,"$141,296",-,-,"$141,296",100%
840,Good as New,"$140,991",-,-,"$140,991",100%
841,We Are Champions,"$140,937",-,-,"$140,937",100%
842,The Dawn,"$140,710",-,-,"$140,710",100%
843,Nahas XLarge,"$140,555",-,-,"$140,555",100%
844,Incitement,"$140,306","$140,306",100%,-,-
845,My God! Father,"$139,511",-,-,"$139,511",100%
846,Final Report,"$139,456",-,-,"$139,456",100%
847,The Washing Machine,"$138,968",-,-,"$138,968",100%
848,Bruno Aleixo's Film,"$138,200",-,-,"$138,200",100%
849,Schemers,"$137,800",-,-,"$137,800",100%
850,Simon's Got a Gift,"$137,358",-,-,"$137,358",100%
851,Beneath Us,"$137,260","$137,260",100%,-,-
852,Harry Potter and the Chamber of Secrets 2020 Re-release,"$136,772",-,-,"$136,772",100%
853,The Cursed Lesson,"$136,302",-,-,"$136,302",100%
854,Archenemy,"$136,240","$121,642",89.3%,"$14,598",10.7%
855,Revenir,"$135,628",-,-,"$135,628",100%
856,Feride,"$134,497",-,-,"$134,497",100%
857,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
858,Stop! Thieves,"$134,144",-,-,"$134,144",100%
859,Man Up!,"$133,983",-,-,"$133,983",100%
860,Sus scrofa,"$133,094",-,-,"$133,094",100%
861,The Banishing,"$131,564",-,-,"$131,564",100%
862,Creators: The Past,"$131,473",-,-,"$131,473",100%
863,The Tie,"$131,242",-,-,"$131,242",100%
864,Let It Snow,"$129,887",-,-,"$129,887",100%
865,Halloween 2020 Re-release,"$129,763",-,-,"$129,763",100%
866,Solo Brathuke So Better,"$129,044","$45,000",34.9%,"$84,044",65.1%
867,The Black Box,"$128,774",-,-,"$128,774",100%
868,Arkansas,"$128,761",-,-,"$128,761",100%
869,Sai Gon in the Rain,"$128,358",-,-,"$128,358",100%
870,Harry Potter and the Prisoner of Azkaban 2020 Re-release,"$128,104",-,-,"$128,104",100%
871,Hidden in the Spotlight,"$127,884",-,-,"$127,884",100%
872,Harry Potter and the Half-Blood Prince 2020 Re-release,"$127,700",-,-,"$127,700",100%
873,Noah Land,"$126,962",-,-,"$126,962",100%
874,The Unfamiliar,"$126,360",-,-,"$126,360",100%
875,Harry Potter and the Order of the Phoenix 2020 Re-release,"$126,170",-,-,"$126,170",100%
876,Mortal,"$126,068",-,-,"$126,068",100%
877,Only,"$125,603",-,-,"$125,603",100%
878,Cell No. 7,"$125,127",-,-,"$125,127",100%
879,"A Dark, Dark Man","$124,792",-,-,"$124,792",100%
880,Escuela para Seductores,"$124,071",-,-,"$124,071",100%
881,Antigone,"$123,645",-,-,"$123,645",100%
882,Oliver Sacks: His Own Life,"$123,593",-,-,"$123,593",100%
883,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
884,Hab,"$122,191",-,-,"$122,191",100%
885,Ik Sandhu Hunda Si,"$122,172",-,-,"$122,172",100%
886,Wool-Ji-Ma Ton-Ze 2: Shu-Keu-Ran Ba-Ba,"$121,103",-,-,"$121,103",100%
887,Memories of Murder 2020 Re-release,"$120,321",-,-,"$120,321",100%
888,Masameer the Movie,"$119,886",-,-,"$119,886",100%
889,Epicentro,"$119,413",-,-,"$119,413",100%
890,Xico's Journey,"$119,373",-,-,"$119,373",100%
891,Notturno,"$119,354",-,-,"$119,354",100%
892,Skylines,"$117,996",-,-,"$117,996",100%
893,Fate Stay Night Heaven's Feel,"$117,983",-,-,"$117,983",100%
894,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
895,Tieteybit,"$117,379",-,-,"$117,379",100%
896,Casting na lásku,"$117,151",-,-,"$117,151",100%
897,Three Summers,"$116,720",-,-,"$116,720",100%
898,Happy Old Year,"$115,871",-,-,"$115,871",100%
899,The Legend of the Five,"$115,490",-,-,"$115,490",100%
900,FLCL Progressive: Stone Skipping,"$115,304",-,-,"$115,304",100%
901,The Innocence,"$115,260",-,-,"$115,260",100%
902,Moving On,"$114,575",-,-,"$114,575",100%
903,Pattas,"$114,121",-,-,"$114,121",100%
904,The Legend of Baron To'a,"$113,880",-,-,"$113,880",100%
905,A Christmas Carol,"$113,730",-,-,"$113,730",100%
906,Swimming for Gold,"$113,605",-,-,"$113,605",100%
907,Upgrade 2020 Re-release,"$113,126",-,-,"$113,126",100%
908,Nasipse Olur,"$112,535",-,-,"$112,535",100%
909,Hard Kill,"$111,523",-,-,"$111,523",100%
910,Grigoriy Butlitskiy and Igor Ozornin: Staryi novyi god,"$111,484",-,-,"$111,484",100%
911,Halley's Comet,"$111,411",-,-,"$111,411",100%
912,Side Effect,"$111,272",-,-,"$111,272",100%
913,The Honeymoon Suite,"$111,271",-,-,"$111,271",100%
914,Steel Rain 2,"$110,914",-,-,"$110,914",100%
915,Ping-Keu-Pong Ci-Ne-Ma Con-Seo-Teu: Woo-Ju-Dae-Tam-Heom,"$110,861",-,-,"$110,861",100%
916,Indoo Ki Jawani,"$110,538",-,-,"$110,538",100%
917,Funhouse,"$110,064",-,-,"$110,064",100%
918,"Memories to Choke On, Drinks to Wash Them Down","$109,569",-,-,"$109,569",100%
919,Very Female Stories,"$109,553",-,-,"$109,553",100%
920,The End of the Storm,"$109,282",-,-,"$109,282",100%
921,MULT v kino. Vol 117,"$108,067",-,-,"$108,067",100%
922,A Perfectly Normal Family,"$107,733",-,-,"$107,733",100%
923,The Mortuary Collection,"$107,629",-,-,"$107,629",100%
924,Shadow Country,"$107,493",-,-,"$107,493",100%
925,The Unknown Saint,"$107,234",-,-,"$107,234",100%
926,A Night at the Louvre: Leonardo da Vinci,"$106,624",-,-,"$106,624",100%
927,Jazzy Misfits,"$106,265",-,-,"$106,265",100%
928,Elliot the Littlest Reindeer 2020 Re-release,"$106,199",-,-,"$106,199",100%
929,Lost Girls and Love Hotels,"$106,045",-,-,"$106,045",100%
930,A French Woman,"$105,938",-,-,"$105,938",100%
931,Miss Juneteenth,"$105,908","$92,349",87.2%,"$13,559",12.8%
932,Before the Wrath,"$105,697",-,-,"$105,697",100%
933,Peggy Sue Got Married 2020 Re-release,"$105,507",-,-,"$105,507",100%
934,The Roads Not Taken,"$105,439","$3,518",3.3%,"$101,921",96.7%
935,Histoire d'un regard,"$105,276",-,-,"$105,276",100%
936,Fatal Visit,"$104,759",-,-,"$104,759",100%
937,Masha's Songs,"$104,236",-,-,"$104,236",100%
938,Kannum Kannum Kollaiyadithaal,"$104,155",-,-,"$104,155",100%
939,Nomer Odin,"$103,202",-,-,"$103,202",100%
940,Calm with Horses,"$103,162",-,-,"$103,162",100%
941,Ala Vykuntapurram Loo,"$103,082",-,-,"$103,082",100%
942,Vic the Viking,"$101,949",-,-,"$101,949",100%
943,The Dark Knight Rises 2020 Re-release,"$101,325",-,-,"$101,325",100%
944,First Cow,"$101,068","$101,068",100%,-,-
945,The Stand In,"$100,884",-,-,"$100,884",100%
946,Jiu Jitsu,"$99,924",-,-,"$99,924",100%
947,Live,"$99,695",-,-,"$99,695",100%
948,Mafia: Chapter 1,"$98,941",-,-,"$98,941",100%
949,The Garden,"$97,299",-,-,"$97,299",100%
950,Toorbos,"$97,105",-,-,"$97,105",100%
951,Dear Tenant,"$97,003",-,-,"$97,003",100%
952,Pelle Svanslös,"$96,873",-,-,"$96,873",100%
953,Legacy of Lies,"$94,583",-,-,"$94,583",100%
954,Exhibition on Screen: Lucian Freud - A Self Portrait 2020,"$93,981",-,-,"$93,981",100%
955,Moterys meluoja geriau. Robertelis. Antroji Banga!,"$93,848",-,-,"$93,848",100%
956,First Lady,"$93,298","$93,298",100%,-,-
957,Psycho Goreman,"$92,982","$92,780",99.8%,$202,0.2%
958,World Famous Lover,"$92,765",-,-,"$92,765",100%
959,Morgue,"$92,266",-,-,"$92,266",100%
960,Song Without a Name,"$91,313",-,-,"$91,313",100%
961,La Dolce Vita 2020 Re-release,"$90,931",-,-,"$90,931",100%
962,Preparations to Be Together for an Unknown Period of Time,"$90,632",-,-,"$90,632",100%
963,Max Winslow and the House of Secrets,"$89,532","$31,250",34.9%,"$58,282",65.1%
964,The Salt of Tears,"$89,465",-,-,"$89,465",100%
965,Maceraci Yüzgeçler: Büyük Gösteri,"$88,716",-,-,"$88,716",100%
966,The Fallen,"$88,245",-,-,"$88,245",100%
967,Hearts and Bones,"$87,522",-,-,"$87,522",100%
968,Savage State,"$87,243",-,-,"$87,243",100%
969,Collective,"$86,883",-,-,"$86,883",100%
970,10 Horas para o Natal,"$86,872",-,-,"$86,872",100%
971,Lowdown Dirty Criminals,"$86,730",-,-,"$86,730",100%
972,Friendsgiving,"$86,039",-,-,"$86,039",100%
973,Para toda la muerte,"$85,948",-,-,"$85,948",100%
974,Schaste V Konverte,"$85,856",-,-,"$85,856",100%
975,Three Tenors: Voices For Eternity,"$85,432",-,-,"$85,432",100%
976,Secrets of the Wind,"$84,892",-,-,"$84,892",100%
977,Paradise Drifters,"$84,699",-,-,"$84,699",100%
978,The Dark Knight 2018 Re-release,"$84,589",-,-,"$84,589",100%
979,Beloved 2020 Re-release,"$84,354",-,-,"$84,354",100%
980,Crock of Gold: A Few Rounds with Shane MacGowan,"$83,863","$2,455",2.9%,"$81,408",97.1%
981,Monsoon,"$83,446",-,-,"$83,446",100%
982,The Big Step,"$83,298",-,-,"$83,298",100%
983,The Cleansing Hour,"$82,216",-,-,"$82,216",100%
984,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
985,What We Forgot to Remember,"$81,870",-,-,"$81,870",100%
986,The Racer,"$80,361",-,-,"$80,361",100%
987,iHuman,"$80,105",-,-,"$80,105",100%
988,Efsunlu Ayin,"$79,498",-,-,"$79,498",100%
989,Kiki: Lanet-i Cin,"$79,225",-,-,"$79,225",100%
990,Harry Potter and the Deathly Hallows: Part 1 2020 Re-release,"$79,140",-,-,"$79,140",100%
991,Forrest Gump 2020 Re-release,"$78,318",-,-,"$78,318",100%
992,Nomad: In the Footsteps of Bruce Chatwin,"$78,100",-,-,"$78,100",100%
993,The Curse of the Handsome Man,"$77,959",-,-,"$77,959",100%
994,Chained,"$77,839",-,-,"$77,839",100%
995,Doctor Strange 2020 Re-release,"$77,681",-,-,"$77,681",100%
996,Cross the Line,"$77,394",-,-,"$77,394",100%
997,The Clearing,"$77,182",-,-,"$77,182",100%
998,Our Lady of the Nile,"$76,635",-,-,"$76,635",100%
999,Super Bear,"$76,322",-,-,"$76,322",100%
"1,000",Har Kisse Ke Hisse: Kaamyaab,"$76,120",-,-,"$76,120",100%
"1,001",American Folk 2020 Re-release,"$75,829",-,-,"$75,829",100%
"1,002",Crescendo,"$74,993",-,-,"$74,993",100%
"1,003",Timmy's Cinema Adventure,"$74,665",-,-,"$74,665",100%
"1,004",Harry Potter and the Goblet of Fire 2020 Re-release,"$74,533",-,-,"$74,533",100%
"1,005",My Neighbor Totoro 2020 Re-release,"$74,019",-,-,"$74,019",100%
"1,006",Mogul Mowgli,"$73,785",-,-,"$73,785",100%
"1,007",Goodfellas 2020 Re-release,"$73,358",-,-,"$73,358",100%
"1,008",Flash Gordon 2020 Re-release,"$73,310",-,-,"$73,310",100%
"1,009",Poppie Nongena,"$73,033",-,-,"$73,033",100%
"1,010",Super Crazy 2020 Re-release,"$72,847",-,-,"$72,847",100%
"1,011",Cosa sarà,"$72,624",-,-,"$72,624",100%
"1,012",The Leadership,"$72,614",-,-,"$72,614",100%
"1,013",Pray: The Story of Patrick Peyton,"$72,347","$72,347",100%,-,-
"1,014",Nova Lituania,"$72,011",-,-,"$72,011",100%
"1,015",Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
"1,016",MULT v kino. Vol 118,"$71,894",-,-,"$71,894",100%
"1,017",Stare,"$71,453",-,-,"$71,453",100%
"1,018",Titanic 2020 Re-release,"$71,352",-,-,"$71,352",100%
"1,019",O Melhor Verão das Nossas Vidas,"$71,333",-,-,"$71,333",100%
"1,020",Lunana: A Yak in the Classroom,"$70,996",-,-,"$70,996",100%
"1,021",Valhalla - The Legend of Thor,"$70,821",-,-,"$70,821",100%
"1,022",How to Build a Girl,"$70,632","$70,632",100%,-,-
"1,023",Moral Order,"$70,086",-,-,"$70,086",100%
"1,024",Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
"1,025",Ghost in Transit,"$69,965",-,-,"$69,965",100%
"1,026",Toi La Nao Ca Vang,"$69,910",-,-,"$69,910",100%
"1,027",Broken Law,"$69,024",-,-,"$69,024",100%
"1,028",Eternal Beauty,"$68,905",-,-,"$68,905",100%
"1,029",Sniper: Assassin's End,"$68,881",-,-,"$68,881",100%
"1,030",Last Days of Spring,"$66,831",-,-,"$66,831",100%
"1,031",K2 vlastní cestou,"$66,672",-,-,"$66,672",100%
"1,032",Jinde Meriye,"$66,637",-,-,"$66,637",100%
"1,033",Soul Mate,"$66,310",-,-,"$66,310",100%
"1,034",Our Times 2020 Re-release,"$66,017",-,-,"$66,017",100%
"1,035",Man from Podolsk,"$65,651",-,-,"$65,651",100%
"1,036",Mama's Music Box,"$65,552",-,-,"$65,552",100%
"1,037",House of Cardin,"$65,153",-,-,"$65,153",100%
"1,038",Isle of Dogs 2020 Re-release,"$64,869",-,-,"$64,869",100%
"1,039",No Way Back,"$64,148",-,-,"$64,148",100%
"1,040",8½ 2020 Re-release,"$63,170",-,-,"$63,170",100%
"1,041",The Midnight Sky,"$62,557",-,-,"$62,557",100%
"1,042",The Italian Job 2020 Re-release,"$62,277",-,-,"$62,277",100%
"1,043",Thang Máy,"$62,272",-,-,"$62,272",100%
"1,044",The Dissident,"$61,862","$57,000",92.1%,"$4,862",7.9%
"1,045",Viva the Underdogs,"$61,491",-,-,"$61,491",100%
"1,046",L'envolée,"$61,206",-,-,"$61,206",100%
"1,047",A Very Bad Friend,"$60,598",-,-,"$60,598",100%
"1,048",Achoura,"$60,148",-,-,"$60,148",100%
"1,049",MULT v kino. Vol 119,"$59,624",-,-,"$59,624",100%
"1,050",My Brothers' Crossing,"$59,395","$59,395",100%,-,-
"1,051",Avane Srimannarayana,"$59,302",-,-,"$59,302",100%
"1,052",Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
"1,053",Lil' Buck: Real Swan,"$58,552",-,-,"$58,552",100%
"1,054",My Little Pony: Rainbow Roadtrip,"$58,498",-,-,"$58,498",100%
"1,055",Solteira Quase Surtando,"$58,444",-,-,"$58,444",100%
"1,056",Aliens 2020 Re-release,"$58,086",-,-,"$58,086",100%
"1,057",Russkie gruziny. Film pervyy,"$57,763",-,-,"$57,763",100%
"1,058",Daniel,"$57,263",-,-,"$57,263",100%
"1,059",Julemandens datter 2,"$56,775",-,-,"$56,775",100%
"1,060",Saint Judy 2020 Re-release,"$55,872",-,-,"$55,872",100%
"1,061",Abou Leila,"$55,581",-,-,"$55,581",100%
"1,062",Come as You Are 2020 Re-release,"$55,093",-,-,"$55,093",100%
"1,063",Coda,"$54,948",-,-,"$54,948",100%
"1,064",Bings Kerstfeest en andere Verhalen,"$54,676",-,-,"$54,676",100%
"1,065",Hotel by the River 2020 Re-release,"$54,565",-,-,"$54,565",100%
"1,066",A Simple Wedding,"$54,415","$54,415",100%,-,-
"1,067",Frida Kahlo,"$54,303",-,-,"$54,303",100%
"1,068",An Old Lady,"$53,887",-,-,"$53,887",100%
"1,069",Stardust,"$53,850","$9,087",16.9%,"$44,763",83.1%
"1,070",It's a Wonderful Life 2020 Re-release,"$53,578","$44,000",82.1%,"$9,578",17.9%
"1,071",Assandira,"$53,378",-,-,"$53,378",100%
"1,072",The Little Mermaid 2020 Re-release,"$52,344",-,-,"$52,344",100%
"1,073",Semur 2: Cinlerin Büyüsü,"$52,262",-,-,"$52,262",100%
"1,074",Saezuru Tori Wa Habatakanai: The Clouds Gather,"$52,065",-,-,"$52,065",100%
"1,075",Disco Raja,"$51,934",-,-,"$51,934",100%
"1,076",MULT v kino. Vol 120,"$51,895",-,-,"$51,895",100%
"1,077",Shark School,"$51,646",-,-,"$51,646",100%
"1,078",Russkiy Reyd,"$51,403",-,-,"$51,403",100%
"1,079",Léon: The Professional 2020 Re-release,"$51,401",-,-,"$51,401",100%
"1,080",Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.8%,$126,0.2%
"1,081",Zieja,"$51,101",-,-,"$51,101",100%
"1,082",Thrissur Pooram,"$50,945",-,-,"$50,945",100%
"1,083",Ben 10 vs. the Universe: The Movie,"$50,743",-,-,"$50,743",100%
"1,084",Letto numero 6,"$50,015",-,-,"$50,015",100%
"1,085",Shadow of the Star,"$49,831",-,-,"$49,831",100%
"1,086",Banned Zone,"$49,731",-,-,"$49,731",100%
"1,087",Henchmen 2020 Re-release,"$49,676","$49,676",100%,-,-
"1,088",Impressionisti segreti,"$49,428",-,-,"$49,428",100%
"1,089",Disturbing the Peace,"$49,104",-,-,"$49,104",100%
"1,090",Poeslief,"$49,033",-,-,"$49,033",100%
"1,091",The Way I See It,"$49,030","$49,030",100%,-,-
"1,092",Trick,"$48,953",-,-,"$48,953",100%
"1,093",Romantic Guide to Lost Places,"$48,951",-,-,"$48,951",100%
"1,094",Dennis & Gnasher: Unleashed! On the Big Screen,"$48,790",-,-,"$48,790",100%
"1,095",Homestay,"$48,701",-,-,"$48,701",100%
"1,096",Arthur & Merlin: Knights of Camelot,"$48,504",-,-,"$48,504",100%
"1,097",Skandal. Ewenement Molesty,"$47,860",-,-,"$47,860",100%
"1,098",O Ano da Morte de Ricardo Reis,"$47,841",-,-,"$47,841",100%
"1,099",The Late Night Ride,"$47,803",-,-,"$47,803",100%
"1,100",VHYes,"$47,037","$47,037",100%,-,-
"1,101",Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
"1,102",The Pack,"$46,610",-,-,"$46,610",100%
"1,103",Hey Duggee At The Movies,"$46,577",-,-,"$46,577",100%
"1,104",Tijuana Bible,"$46,296",-,-,"$46,296",100%
"1,105",Minions 2020 Re-release,"$46,265",-,-,"$46,265",100%
"1,106",Molecole,"$46,252",-,-,"$46,252",100%
"1,107",The Leunig Fragments,"$45,425",-,-,"$45,425",100%
"1,108",Paradise,"$45,417",-,-,"$45,417",100%
"1,109",Farewell Paradise,"$45,289",-,-,"$45,289",100%
"1,110",Dil Bechara,"$45,171",-,-,"$45,171",100%
"1,111",Pretty Woman 2020 Re-release,"$44,796",-,-,"$44,796",100%
"1,112",A Man and a Woman 2020 Re-release,"$44,666",-,-,"$44,666",100%
"1,113",Helen Kelly - Together,"$44,332",-,-,"$44,332",100%
"1,114",The Room,"$44,291",-,-,"$44,291",100%
"1,115",The Human Voice,"$44,262",-,-,"$44,262",100%
"1,116",Vo Sinh Dai Chien,"$44,157",-,-,"$44,157",100%
"1,117",The Foreigner 2020 Re-release,"$43,971",-,-,"$43,971",100%
"1,118",My Little Friends and I,"$43,952",-,-,"$43,952",100%
"1,119",Life in a Year,"$43,862",-,-,"$43,862",100%
"1,120",Spree,"$43,840","$28,771",65.6%,"$15,069",34.4%
"1,121",Araf 4: Meryem,"$43,535",-,-,"$43,535",100%
"1,122",Draupathi,"$43,388",-,-,"$43,388",100%
"1,123",Paw Patrol Charged Up,"$43,367",-,-,"$43,367",100%
"1,124",Russian Spleen,"$43,219",-,-,"$43,219",100%
"1,125",The Mole Agent,"$43,158",-,-,"$43,158",100%
"1,126",Attack on Titan: Chronicle,"$42,908",-,-,"$42,908",100%
"1,127",Bikeman 2,"$42,710",-,-,"$42,710",100%
"1,128",The Karate Kid 2020 Re-release,"$42,043",-,-,"$42,043",100%
"1,129",Big Hero 6 2020 Re-release,"$41,673",-,-,"$41,673",100%
"1,130",Valley of the Gods,"$41,213",-,-,"$41,213",100%
"1,131",Yung Lean: In My Head,"$40,834",-,-,"$40,834",100%
"1,132",Min pappa Marianne,"$40,772",-,-,"$40,772",100%
"1,133",Romulo & Julita,"$40,534",-,-,"$40,534",100%
"1,134",La Dolce Vita,"$40,484",-,-,"$40,484",100%
"1,135",The Odyssey 2020 Re-release,"$40,346",-,-,"$40,346",100%
"1,136",Saekano: How to Raise a Boring Girlfriend Fine,"$40,309",-,-,"$40,309",100%
"1,137",Psycho 2020 Re-release,"$40,242",-,-,"$40,242",100%
"1,138",Yom Eh Yom La2,"$39,858",-,-,"$39,858",100%
"1,139",Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
"1,140",Breach,"$39,328",-,-,"$39,328",100%
"1,141",The Academy of Magic,"$39,237",-,-,"$39,237",100%
"1,142",The Child in Time,"$39,221",-,-,"$39,221",100%
"1,143",The Bay of Silence,"$38,806","$1,941",5%,"$36,865",95%
"1,144",The Hardest Thing,"$38,801",-,-,"$38,801",100%
"1,145",Kazka staroho melnyka,"$38,556",-,-,"$38,556",100%
"1,146",The Audition,"$38,523",-,-,"$38,523",100%
"1,147",Ammen,"$38,444",-,-,"$38,444",100%
"1,148",The Foggy Mountain-Dinh Mu Suong,"$38,376",-,-,"$38,376",100%
"1,149",Origin Unknown,"$38,252",-,-,"$38,252",100%
"1,150",Dilwale Dulhania Le Jayenge 2020 Re-release,"$38,180",-,-,"$38,180",100%
"1,151",Sexfish,"$38,004",-,-,"$38,004",100%
"1,152",Behind the Walls,"$37,971",-,-,"$37,971",100%
"1,153",Atlantis,"$37,690",-,-,"$37,690",100%
"1,154",That Person and Those Things,"$37,538",-,-,"$37,538",100%
"1,155",Transference,"$37,483",-,-,"$37,483",100%
"1,156",Paper Flower,"$37,426",-,-,"$37,426",100%
"1,157",You're Not Alone,"$37,297",-,-,"$37,297",100%
"1,158",Guns of Banaras,"$36,914",-,-,"$36,914",100%
"1,159",Three Christs,"$36,723","$36,723",100%,-,-
"1,160",The Double Plus Fifteen,"$36,702",-,-,"$36,702",100%
"1,161",Tread,"$36,527","$36,527",100%,-,-
"1,162",God of the Piano,"$36,451",-,-,"$36,451",100%
"1,163",Waiting for Anya,"$36,404",-,-,"$36,404",100%
"1,164",A Day & A Night,"$36,063",-,-,"$36,063",100%
"1,165",Parasite,"$36,005",-,-,"$36,005",100%
"1,166",Truyên Thuyêt Vê Quán Tiên,"$35,898",-,-,"$35,898",100%
"1,167",Oh My Kadavule,"$35,668",-,-,"$35,668",100%
"1,168",Whispers of Gold,"$35,121",-,-,"$35,121",100%
"1,169",Bhai's Cafe,"$35,089",-,-,"$35,089",100%
"1,170",A Christmas Story 2020 Re-release,"$35,000","$35,000",100%,-,-
"1,171",Jora: The Second Chapter,"$34,944",-,-,"$34,944",100%
"1,172",E Riam Sing,"$34,761",-,-,"$34,761",100%
"1,173",She Is the Ocean,"$34,680","$20,211",58.3%,"$14,469",41.7%
"1,174",Mind My Mind,"$34,429",-,-,"$34,429",100%
"1,175",RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
"1,176",Freaks 2020 Re-release,"$33,360",-,-,"$33,360",100%
"1,177",I Never Cry,"$33,099",-,-,"$33,099",100%
"1,178",Hunter Hunter,"$32,705","$32,705",100%,-,-
"1,179",Bloodlust Beauty,"$32,649",-,-,"$32,649",100%
"1,180",Banksy and the Rise of Outlaw Art,"$32,471",-,-,"$32,471",100%
"1,181",The Crawler,"$32,346",-,-,"$32,346",100%
"1,182",Revolting Rhymes,"$32,313",-,-,"$32,313",100%
"1,183",Embattled,"$32,259","$32,259",100%,-,-
"1,184",Make Up,"$32,229",-,-,"$32,229",100%
"1,185",It Feels So Good,"$31,965",-,-,"$31,965",100%
"1,186",Centigrade,"$31,808","$16,263",51.1%,"$15,545",48.9%
"1,187",War Horse Nt Live,"$31,737",-,-,"$31,737",100%
"1,188",Knuckle City,"$31,683",-,-,"$31,683",100%
"1,189",Lur eta Amets,"$31,344",-,-,"$31,344",100%
"1,190","Giselle Roh, London","$31,283",-,-,"$31,283",100%
"1,191",I WeirDO,"$31,137",-,-,"$31,137",100%
"1,192",Rent-A-Pal,"$31,053","$30,901",99.5%,$152,0.5%
"1,193",Pulp Fiction 2020 Re-release,"$30,974",-,-,"$30,974",100%
"1,194",The Glorias,"$30,940",-,-,"$30,940",100%
"1,195",Don't Look Back,"$30,780",-,-,"$30,780",100%
"1,196",Two Tails 2020 Re-release,"$30,689",-,-,"$30,689",100%
"1,197",After Parkland,"$30,444","$30,444",100%,-,-
"1,198",Gauguin a Tahiti. Il paradiso perduto,"$30,439",-,-,"$30,439",100%
"1,199",Thirty,"$30,389",-,-,"$30,389",100%
"1,200",Rev,"$29,633",-,-,"$29,633",100%
"1,201",Elvis: That's the Way It Is 2020 Re-release,"$29,603",-,-,"$29,603",100%
"1,202",Cholitas,"$29,451",-,-,"$29,451",100%
"1,203",Olympic Dreams,"$29,450","$29,450",100%,-,-
"1,204",Fukuoka,"$29,170",-,-,"$29,170",100%
"1,205",Buffaloed,"$29,118","$29,118",100%,-,-
"1,206",Spice Boyz,"$29,068",-,-,"$29,068",100%
"1,207",Jumbo,"$29,001",-,-,"$29,001",100%
"1,208",Katherine Jenkins Christmas Spectacular,"$28,975",-,-,"$28,975",100%
"1,209",Uncle,"$28,662",-,-,"$28,662",100%
